names,score
1pick,3
Akatusuki,1
AloneTM,2
Aviv,2
Captmarshmellow,2
Clickies,1
Connor,1
DaTurTelGod1,1
FitzyPvP,2
Foxify,1
IceWolf,1
IcyHotHead,3
Insted,1
IsaacThePenguin,1
ItsYaBoiAlex14,2
Jaimss,1
JamesJustJoined,1
Japan___,1
Jet,1
Joyoy0,2
KingLoLoHP,1
Lauren,1
Laylim,1
Lumbrub,7
Momentum,1
Nicbo,1
OrionPvP,2
Sander0410,1
Serpent0406,1
SlickBoy,1
Swirls,2
TeunMC,1
V_A_M,4
Weirdillusions,1
Wolthy,1
Wqlk,1
adam,1
ash,2
casey,3
dog,2
embox,5
evites,2
lovebailey,9
myro,1
ok boomer,1
sadliar,1
sushi,1
wheresmymommy,2
xSquid3997,1
