names,score
1pick,5
AirDog46,4
Akatusuki,1
AtomicRaider2k,2
Azstar,2
BabyKrypto,1
BlackVelvet666,1
Botwave,4
Calculatorr,1
Captmarshmellow,2
Eco,9
FakeLoki_,2
FitzyPvP,1
FortyFour,1
Foxify,1
GoldenMurphyMan,2
GoogleSearches,4
Gxdda,1
I_AM_afraid,2
IcyHotHead,1
Insted,1
Invincible50,2
JoeMS10,1
Laylim,1
Lumbrub,4
McDonalds,3
MiniC0ded,1
Nicbo,5
Nicki,1
Notascendix,2
OrionPvP,5
RoyalDreary,1
SadLuna,1
Sariel,1
Serpent0406,1
Simplility,1
Stmz,2
Subsy,3
TeunMC,1
V_A_M,5
Vainer,1
Weirdillusions,4
Zeesgoツ,3
_Goomy,1
__Dragonslayer,1
aod66,2
ash,1
badliar_,1
casey,2
dog,4
embox,1
evites,1
italicfan69,1
living_,1
lovebailey,3
sadliar,3
stinkythesheep,1
