names,score
1pick,4
BreadLoaf_Keys,1
Byzon,1
DabOnDatCheese,1
Decay,1
FitzyPvP,1
IsaacThePenguin,2
JamesJustJoined,2
KittyKitty69,1
Lauren,1
Laylim,2
MagnitoIsAGod,1
McDonalds,1
Mihaitai,1
Neptune888,2
Nicbo,5
Nicki,3
OrionPvP,1
RoyalDreary,1
SkittlesTM,1
Stradium,1
SwagBoy44444,1
Swirls,1
UncleJimmy_yt,2
Unnamedguy,1
V_A_M,2
Valat,1
Weirdillusions,3
Xoads,1
Yawnless,1
aiht,1
cSyre,1
casey,2
cled,1
democraticparty,1
embox,1
evites,1
frostyneedshelp,2
ophen,1
popthetags,1
ql3c,2
sadliar,1
velo,1
zJavaError,3
