names,score
1pick,4
AirDog46,1
Ant,1
BfalMC,1
BlueSnowBallMic,1
Botwave,3
Connor,2
DaTurTelGod1,1
DabOnDatCheese,1
FitzyPvP,2
Foxify,1
FrostyyMC,2
GoogleSearches,3
Hydrozing,1
Insted,2
Invincible50,1
JamesJustJoined,2
JoeMS10,3
Joyoy0,1
JrBacca,1
Lumbrub,3
MagnitoIsAGod,2
Meatballia,1
Miekio,1
MiniC0ded,1
Momentum,5
NameAidan,1
Nicbo,2
Notascendix,1
Nowy,1
Ocaaaasek01,1
OrionPvP,2
Redot,1
Simplility,3
Swirls,1
Truce,1
V_A_M,4
VestaLT,1
Weirdillusions,2
Xoads,1
_iStrqfe,1
adam,1
ameliaaaaa,2
ash,1
badliar_,2
casey,2
d_rodrigo,1
evites,1
hevex,1
katykat,1
living_,1
ppeo,1
rashes,1
rcgret,2
sadliar,1
weîrd guy,1
wheresmymommy,1
