names,score
0blivionn,1
1pick,8
69hd,1
AirDog46,2
Ameelyuh,1
AndyCrasher,1
AphPvP,1
BabyKrypto,1
Benjiram,2
BlackVelvet666,3
BlankSpaceHere,5
BlueSnowBallMic,2
Botwave,1
Clickies,4
Connor,1
CoocaCola,1
Cool_man,1
CozyBoyy,1
DabOnDatCheese,1
Dave,15
DelmarLysol,1
DreamLogic,4
Dufji,2
ExpiryYT,1
Fahx,4
FakeLoki_,1
FitzyPvP,2
FortnitePlayer,1
Foxify,1
FrostyyMC,6
Fudgie,2
Garvey,1
GoldenMurphyMan,2
GoogleSearches,3
HaederTheToast,2
Honor,1
Hydrozing,1
HyperFlames,2
ILikePeeVeePee,5
IcyHotHead,6
IlyFlyKev,6
Insted,12
InvadedLands,1
ItsYaBoiAlex14,1
Jaimss,2
JamesJustJoined,4
Jedadah,27
Jet,1
JoeMS10,39
Joyoy0,1
KimJonqUn,1
KittyKitty69,9
Lauren,1
LightUpSkechers_,2
LuckyBlockJack,1
Lumbrub,1
Luna,3
Lynds,1
MagnitoIsAGod,5
Mattew,1
Maybethelion,1
McDonalds,2
McDucc,25
Meatballia,1
MiniC0ded,1
Monstersmasher20,1
Mxxrcell,5
Neptune888,5
NerdSocial,1
NestaDiePie,3
Ngamer7,1
Nicbo,23
Noha,1
Nucker,1
Obi,1
Olun,1
OneDance,1
OperationIM,2
OrenjiLUV,1
OrionPvP,8
OwensThing,1
Pinevole,1
Redot,1
Ring,1
RundownHD,1
SAKE80,2
SFvin,2
Sasuke,1
Seqsons,1
Serpent0406,7
Shmirpy,1
Simplility,4
SkeppyCat,1
SpaceUnit,6
SpeedySapphire,3
Spycy,1
Stradium,3
Swirls,2
System64,2
TeunMC,17
UnholyCow,1
Unnamedguy,1
V_A_M,13
Vainer,1
Valat,2
VestaLT,1
Vooltron,3
WasabiRaven,2
Weirdillusions,1
Wqlk,5
Xoads,1
YourDevjordan,1
_Goomy,2
aiht,2
ash,5
badliar_,2
belle,4
cSyre,3
casey,88
djenson,1
dog,15
du9,1
embox,1
evites,26
firehond,1
fongus,1
fwequentie,1
goawayimhigh,1
greenpastel,7
hamoka,3
i<3skep,2
its_me_liv_,1
katykat,20
krovic,2
lovebailey,14
lovejaidy,1
lucxy,1
muffinyboyhalo,2
nuhmb,1
ok boomer,1
panicbrendon,1
poolparty,3
popthetags,5
sSkiez,4
sadkai,2
sadliar,9
sugarkisses,1
sushi,1
wheresmymommy,1
xSquid3997,1
yellowkazoo,1
ynwYelo,1
