names,score
1pick,1
ApexWasabi,2
BMBradleyYT,1
Baldboyhalo1414,1
BeanEater,1
BlackThunder447,1
BlackVelvet666,1
BreadLoaf_Keys,4
Candi,3
Captmarshmellow,2
Connor,2
DayTwos,1
Doodles4,2
Eztap,1
FantomMcyeeter,1
FitzyPvP,42
FrostyyMC,3
GlitchyCube,1
GoldenMurphyMan,1
GoogleSearches,1
Haizhe,1
Hydrozing,1
HyperFlames,1
IcyHotHead,1
Insted,7
ItalicPie580,3
ItsYaBoiAlex14,1
Jaimss,4
JamesJustJoined,8
Jedadah,1
JoeMS10,3
Kayloo,7
Killwave,1
KittyKitty69,1
Kobbie,1
Lauren,1
Lawna,1
Laylim,1
Lumbrub,18
Majeranek,5
MinecraftMan1013,1
Monit0r,1
Mxxrcell,1
Neptune888,15
NestaDiePie,1
Nicbo,7
Olun,1
OrionPvP,2
Othman,1
Periys,6
Prevoke,1
Redot,1
RichieInDaBox,1
Serpent0406,1
Simplility,1
SkeppyCat,4
SpaceUnit,9
Stradium,2
Subsy,6
Summerr,2
System64,1
TeunMC,1
TheOreo,2
TiceyDicey,1
V_A_M,11
WasabiRaven,2
Wqlk,1
Yawnless,4
Zopetto,1
adam,7
badliar_,1
bondo,1
cSyre,52
casey,15
d_rodrigo,2
dog,6
evites,2
frostyneedshelp,1
greenpastel,1
hevex,1
iMedia,1
katykat,6
kvids,4
lovebailey,3
lovejaidy,1
miah,1
mvri,10
pat_3,1
poolparty,1
popthetags,1
rcgret,2
sSkiez,2
universalt,1
velo,14
xSquid3997,2
zJavaError,1
