names,score
AirDog46,1
Akatusuki,1
AndyCrasher,1
AtomicRaider2k,3
Aviv,2
Azstar,1
BabyKrypto,1
Botwave,7
Caitie_Cat_,1
Camila,3
CheezeGDS,1
Clickies,2
Doodles4,1
Eco,4
EvilPlays,1
GiantPoop,1
GoogleSearches,4
IcyHotHead,2
Insted,3
Invincible50,5
ItsYaBoiAlex14,1
JakobActually,1
JoeMS10,1
Luna,2
McDonalds,2
Momentum,3
Monclare :O,14
Neptune888,1
NerdSocial,1
Nicbo,1
OrionPvP,3
Papl,1
Redot,2
Rikhard_,1
SadLuna,1
Sariel,1
Serpent0406,4
Simplility,3
SkeppyCat,1
Sora,2
SpaceUnit,1
Stmz,2
Subsy,1
TeunMC,1
TorpedoTim64,1
Unnamedguy,1
V_A_M,3
Weirdillusions,1
WifeAmanda,1
Wqlk,1
Xoads,1
Zeesgoツ,1
adam,147
aiht,1
badliar_,3
casey,3
dog,1
evites,5
faze ugly,1
fwequentie,1
helpline,2
kvids,2
living_,1
nottekoh,1
nuhmb,1
pranshuP2,1
rcgret,1
sadliar,1
steferyang,1
