names,score
Aeqz,1
BlankSpaceHere,1
Caleux (Lucas),1
Captmarshmellow,1
Clickies,1
DaTurTelGod1,1
FrostyyMC,1
IceWolf,2
IcyHotHead,4
Insted,1
ItsYaBoiAlex14,1
Jacob,1
JoeMS10,2
Kayloo,1
MaNemEvan,2
MagnitoIsAGod,1
Neptune888,3
OrionPvP,4
RyanCantPvP,1
Serpent0406,1
Simplility,1
SkittlesTM,1
SpaceUnit,1
Stradium,1
UncleJimmy_yt,1
Unnamedguy,1
V_A_M,1
Weirdillusions,2
Wqlk,1
aiht,2
casey,2
d_rodrigo,1
dog,2
evites,3
hamoka,1
italicfan69,2
krovic,1
lovebailey,1
lovejaidy,1
popthetags,3
sSkiez,1
velo,1
xSquid3997,1
