names,score
1pick,2
AKJenn,1
AgentPanda_,1
ApexWasabi,1
Benjiram,1
CelticKestrel,1
Cookie,3
DaDonut,1
Decay,1
Eco,1
Erkku,1
FitzyPvP,2
Ghetoven,1
GialliEnergy,1
Golden_,1
IcyHotHead,1
ImRayst,1
Insted,1
Jaimss,1
JamesJustJoined,1
Koeskoes,1
Laylim,1
Lioneric,1
Lumbrub,3
McDonalds,1
Monit0r,1
Mqzen,1
Neptune888,9
NestaDiePie,2
Nicki,1
Redot,1
RoxasFA,1
SAKE80,1
SadLuna,1
SamLoop,1
ShootAsword,1
SpaceUnit,1
Stmz,1
Swirls,2
Talem,1
TeunMC,1
Trystan,1
Ultra31A,1
V_A_M,2
Valat,1
Weirdillusions,3
Wqlk,2
Xoads,2
casey,2
cowFrickerTheOG,2
dog,1
evites,1
global,1
katykat,1
lovebailey,1
lovejaidy,2
lucxy,1
mrchanjack1,1
panicbrendon,1
popthetags,2
xyuji,1
yumes,2
