names,score
1pick,2
Akatusuki,2
AndyCrasher,1
Aviv,1
Botwave,1
BreadLoaf_Keys,3
Captmarshmellow,1
Chainkiller,1
Cookie,3
DelmarLysol,1
DiamondPower,1
Dqniel,1
EchoX,1
Eco,2
Elementalish,1
Falko,1
HaederTheToast,1
IBlueyI,1
IceWolf,1
IcyHotHead,2
Insted,5
JamesJustJoined,1
Jedadah,3
JoeMS10,3
Kayloo,8
Lumbrub,2
MaNemEvan,6
Majeranek,1
Neptune888,13
Nicbo,1
OrionPvP,4
SkeppyJr,2
SkeppysKid,1
Subsy,1
Talem,1
TeunMC,6
Twisst,1
V_A_M,7
Weirdillusions,1
Wolthy,1
Wqlk,4
Yawnless,1
Zopetto,1
aiht,1
ash,5
casey,3
cowFrickerTheOG,2
d_rodrigo,1
dog,1
greenpastel,2
hamoka,1
kaylie,1
kvids,4
lovebailey,2
octaviez,1
ophen,2
panicbrendon,1
sadliar,1
universalt,1
voidkay,1
xSquid3997,1
