names,score
1pick,3
Akatusuki,2
AtomicRaider2k,1
Aviv,2
AzMaaX,1
BabyKrypto,1
Benjiram,5
BlueSnowBallMic,1
BreadLoaf_Keys,1
Captmarshmellow,1
Clickies,1
Connor,1
DaTurTelGod1,1
Dave,1
DirectInfiniteYT,2
DoggyDoge,1
Doodles4,3
Edwinium,1
FitzyPvP,1
Forcatchy,1
GAC,1
GoogleSearches,2
H5,1
Hamster,1
Haybob,1
Honor,1
Hydrozing,2
IcyHotHead,3
Immo,1
Insted,1
InvadedLands,2
IsaacThePenguin,1
Jacob,1
Jaimss,5
JamesJustJoined,3
Japan___,1
JoeMS10,1
Kayloo,1
Lancciks,14
Laylim,1
LukeLovesCandy,1
Lumbrub,11
MM_TAKI,1
MagnitoIsAGod,2
MiniC0ded,1
Monit0r,2
Mqzen,3
Neptune888,2
NestaDiePie,1
Nicbo,5
Nicki,1
OrionPvP,5
Redot,5
RoyalDreary,2
S0V,1
Serpent0406,4
Simplility,1
Skeppy's Hamster,1
SkeppyCat,1
Smakina,1
Sora,1
SpaceUnit,1
Subsy,1
Summerr,2
Swirls,6
Threewn,2
TorpedoTim64,1
V_A_M,5
Valat,15
Vooltron,1
Weirdillusions,4
Wolthy,2
Wqlk,1
Wurmpie15,1
Xoads,7
Yawnless,1
Zeesgoツ,1
Zyvra,1
alertall,1
badliar_,1
cSyre,1
casey,2
democraticparty,2
evites,4
frostyneedshelp,1
fwequentie,1
hamoka,1
hevex,1
kaylie,2
kkhan,1
krovic,4
kvids,1
lovebailey,2
lukaplayz,5
muffinyboyhalo,2
ok boomer,1
pat_3,1
podoqob,1
popthetags,1
sadliar,4
thehydrogen,1
xImmune,1
xpainfulll,1
