names,score
1pick,2
AgentPanda_,1
Akatusuki,3
AloneTM,1
Aviv,1
Azstar,2
BabyKrypto,4
Botwave,1
Caleux (Lucas),1
Candi,1
Clickies,1
Coastal_4,1
Converging,2
CursedSami,1
DabOnDatCheese,2
Dave,1
Decay,1
Doodles4,1
DuarteSilva11,2
Emerald,3
FitzyPvP,3
FreezyHamster,1
Fudgie,1
Golden_,4
Hawkeye Hollow,1
Honor,1
I_AM_afraid,5
IcyHotHead,1
Imran,1
Insted,3
ItsYaBoiAlex14,1
Jaimss,2
JamesJustJoined,7
Jet,1
KittyKitty69,1
Lauren,1
Lonewulfx3,1
Lumbrub,1
Masterburn,1
Neptune888,3
NestaDiePie,1
Nicbo,2
OrionPvP,1
Pettle,2
RainzOnYoutube,1
Redot,1
S0V,1
Serpent0406,1
Simplility,1
SkittlesTM,1
Smakina,1
SmoothVibes,1
Soda,4
SpaceUnit,1
Squishyseaweed,1
ToxicalJolt,1
Twisst,1
V_A_M,1
Valat,2
Weirdillusions,2
Wqlk,2
aiht,1
ash,1
badliar_,1
belle,1
cSyre,3
cellwall,1
distillable,1
dog,10
kaylie,2
kkhan,1
kvids,2
lovebailey,2
lovejaidy,3
myro,2
rcgret,4
sadkai,1
toooog,2
vaxxi,1
velo,1
wclls,3
