names,score
1pick,6
69hd,2
AgentPanda_,1
AirDog46,1
Akatusuki,6
AletheiaWarrior,1
Aviv,2
Azstar,1
BMBradleyYT,1
Bellasprout,1
Benjiram,1
BlackVelvet666,2
BlueSnowBallMic,1
BreadLoaf_Keys,8
Brizly,2
Bruva,1
CakeMan710,1
Caleux (Lucas),1
CallMeToxic,1
Candi,1
Clickies,1
Cookie,1
DaTurTelGod1,2
Dave,10
DreamLogic,1
Edwinium,1
Elementalish,5
Eztap,1
Fahx,1
FitzyPvP,1
Fudgie,3
Garvey,1
GlitchyCube,1
GoldenMurphyMan,1
Gusuu,1
Insted,40
ItalicPie580,1
ItsYaBoiAlex14,4
Jaimss,10
JamesJustJoined,6
Jaws,1
JoeMS10,11
JoinMolten,3
KittyKitty69,2
Laylim,2
Lonewulfx3,1
Lumbrub,4
Majeranek,1
Momentum,2
Monit0r,3
Neptune888,29
NewYearsFreddy,1
Ngamer7,1
Nicbo,5
OrionPvP,1
OwO_Penguin,1
PabloTheTexan,1
PapaGoofy,7
Peguinster,1
Redot,4
RichieInDaBox,1
RougeNebula,1
RoxasFA,1
S0V,4
Simplility,1
SkeppyCat,1
SkittlesTM,1
SpaceUnit,1
Spycy,1
Summerr,3
Swirls,1
SwissyYT,1
TeunMC,8
Th3ftx,3
ToxicalJolt,1
Trystan,1
Twisst,1
UpbeatKnot43716,2
V_A_M,5
Vatrea,1
Weirdillusions,2
Witha,1
Wolthy,2
Wqlk,2
Xoads,1
Yawnless,6
Zaceroo,1
adam,4
amemably,1
ash,52
astroepengee,1
badliar_,1
cSyre,2
casey,44
d_rodrigo,4
democraticparty,2
dog,1
encription,1
evites,2
fwequentie,1
goawayimhigh,1
greenpastel,3
hamoka,1
hevex,1
heytylerreid,1
iMedia,1
italicfan69,2
katykat,1
kvids,2
lovebailey,8
lovejaidy,3
lukaplayz,1
miah,1
mr6wek,1
muffinyboyhalo,5
mvri,3
myro,1
nottekoh,2
nuhmb,1
ok boomer,75
panicbrendon,52
pat_3,1
ql3c,1
rashes,1
rcgret,1
sadkai,2
sadliar,1
sushi,1
thehydrogen,3
universalt,1
unlimitedHolo,1
warper,2
xVurs,1
yakovliam,1
yumes,1
