names,score
1pick,3
AB987,1
AdaptableRuben,1
AirDog46,1
Akatusuki,1
AloneTM,1
AmitTMB,1
AnolTongi,1
Apportioned,1
Aviv,2
BMBradleyYT,1
BabyKrypto,1
Baldboyhalo1414,1
BreadLoaf_Keys,9
Caleux (Lucas),1
Candi,2
Captmarshmellow,1
Clyp,1
Connor,1
DDRNSTPMGMX,1
Dave,1
Doodles4,1
DreamLogic,1
Elementalish,1
EmberAydin,1
Etshaw,1
F1_fan2005,1
FortyPercent,1
Fr0stTheElk,1
FrostyyMC,3
GiantPoop,2
GlitchyCube,1
Gusuu,1
Gwenjii,3
Hydrozing,1
ISpexI,1
IcyHotHead,1
Insted,2
InvadedLands,1
ItsYaBoiAlex14,1
JBF_Films,1
Jaimss,6
JamesJustJoined,6
Jaws,5
Jedadah,1
JoeMS10,2
Jorb,1
Kayloo,1
Lauren,1
Laylim,3
Lonewulfx3,1
MASKBOYMARCEL,1
MagnitoIsAGod,1
McDonalds,2
Mikhail0,1
Monit0r,1
Neptune888,11
Nicbo,5
OneDance,1
OrionPvP,1
PapaGoofy,2
Party,1
Peguinster,1
Pentala,3
Plutoniur,1
QueefingDorito,1
Reblxtemp3r,1
Redot,1
RexizX,1
Rhymings,1
RichieInDaBox,1
Sedatte,1
Seqsons,4
Serpent0406,1
SkeppyCat,1
SkeppyJr,1
SkittlesTM,1
Smakina,1
SpaceUnit,3
Subsy,4
System64,6
Th3ftx,2
TheTimeDefender,1
TorpedoTim64,2
Twisst,1
UpbeatKnot43716,2
V_A_M,1
WasabiRaven,1
WolfCrafted,1
Wqlk,4
Xyst_,1
Yawnless,3
ameliaaaaa,1
amemably,1
astroepengee,2
casey,8
d_rodrigo,3
dog,3
embox,1
evites,1
hamoka,1
heytylerreid,1
katykat,2
kirikuo,35
living_,2
lwcy,1
mcpmeme,1
mvri,1
myro,2
naviwinn,1
realarnutis,3
sSkiez,1
sadliar,4
thehydrogen,1
universalt,1
vQuil,1
vaxxi,1
wetplace,1
xImmune,1
xVurs,1
